Electrical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Sharvan Kumar Pahuja,Professor & Head,27,11,5,5,0,signal processing
2,Dr Harimurugan,Assistant Professor (Grade-I),12,14,1,1,0,ML
3,Dr Kailash Chand Sharma,Assistant Professor (Grade-I),23,24,1,0,0,ML
4,Dr. Mahesh Kumar,Assistant Professor (Grade-I),10,13,4,0,0,Power system
5,Dr Arun Rathore,Assistant Professor Garde-II,15,14,1,0,0,Power System
6,Dr Bhukya Nageswar Rao,Assistant Professor Grade-II,12,12,1,0,0,micro grid
7,Dr Debottam Mukherjee,Assistant Professor (Grade-II),14,18,1,0,0,Power System
8,Dr Madan Kumar Das,Assistant Professor Garde-II,8,15,2,0,1,micro grid
9,Dr Krishanu Nath,Assistant Professor (Grade-II),11,18,0,0,0,Robotics
10,Dr Pothuraju Ramakrishna,Assistant Professor Garde-II,7,12,1,0,2,Power system
11,Dr. Sounak Nandi,Assistant Professor (Grade-II),11,5,2,0,2,Electrostatics
,,,150,156,19,6,5,
,,,,,,Total= 336,,
Humanities & Management,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr S J S Bedi,Professor,15,2,1,3,0,HR
2,Dr Sonia Chawla,Professor,46,7,6,4,0,Financal economics
3,Dr Aditya Prakash,Associate Professor & Head,10,0,0,0,0,literature
4,Dr Jagwinder Singh,Associate Professor & Head,23,3,3,0,0,consumer behavaour
5,Dr Gaurav Kumar,Assistant Professor (Grade-I),11,0,6,1,0,Financal econimics
6,Dr Gyan Prakash,Assistant Professor (Grade-I),36,6,0,1,1,HR
7,Dr Shyamkiran Kaur,Assistant Professor (Grade-I),15,13,3,0,0,literature
8,Dr Neeraj Gautam,Assistant Professor Grade-II,0,0,0,0,0,0
9,Dr Radhakrishna G S,Assistant Professor (Grade-II),6,3,0,1,0,Financial economics
10,Dr Ravina Toppo,Assistant Professor Grade-II,0,0,0,0,0,0
11,Dr Vaibhav Pathak,Assistant Professor Grade-II,0,0,0,0,0,0
12,Dr Yaisna Rajkumari,Assistant Professor (Grade-II),8,1,5,0,0,literature
,,,170,35,24,10,1,
,,,,,,Total= 241,,
Electronics & Communication Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Binod Kumar Kanaujia,"Director, NITJ",347,93,25,8,3,Communication Systems
2,Dr Arun K Khosla,Professor,45,31,25,11,2,Human-Computer Interaction (HCI)
3,Dr B S Saini,Professor,61,56,16,1,0,Signal processing
4,Dr Mamta Khosla,Professor,56,35,11,3,4,ML
5,Dr Ashish Raman,Associate Professor & Head,84,33,15,6,10,ML
6,Dr Asutosh Kar,Associate Professor ,54,50,3,6,0,Signal processing
7,Dr Balwinder Raj,Associate Professor,107,51,21,7,3,Nanoelectronics
8,Dr Deepti Kakkar,Associate Professor,36,41,22,0,1,ML
9,Dr Indu Saini,Associate Professor,38,34,8,6,0,ML
10,Dr Neetu Sood,Associate Professor,31,43,9,3,1,Signal processing
11,Dr Ramesh K Sunkaria,Associate Professor,83,73,6,14,4,Signal processing
12,Dr Aijaz Mehdi Zaidi,Assistant Professor (Grade-I),19,8,1,0,1,ML
13,Dr. Manjeet Singh,Assistant Professor (Grade-I),18,13,3,0,1,iot
14,Dr Nitesh Kashyap,Assistant Professor (Grade-I),17,16,1,0,2,Antenna design
15,Dr Pawan Kumar Verma,Assistant Professor (Grade-I),15,17,4,1,1,iot
16,Dr Sateesh Kumar Awasthi,Assistant Professor (Grade-I),10,18,3,2,1,Signal Processing
17,Dr Sukwinder Singh,Assistant Professor (Grade-I),12,17,1,1,3,iot
18,Dr Tarun Chaudhary,Assistant Professor (Grade-I),20,21,14,0,1,Nanoelectronics
19,Dr Amina Girdher,Assistant Professor Grade-II,7,5,0,0,0,Spectrum
20,Dr Bodile Roshan Mukindrao,Assistant Professor (Grade-II),6,8,2,0,1,Signal processing
21,Dr. Kundan Kumar,Assistant Professor (Grade-II),13,9,0,0,3,Antenna design
22,Dr Pheiroijam Pooja,Assistant Professor Grade-II,14,1,2,0,0,Nanoelectronics
23,Dr Robin Kalyan,Assistant Professor Grade-II,5,8,0,0,0,Amplifier
24,Dr Rohit Singh,Assistant Professor (Grade-II),25,6,1,0,2,Communication Systems
25,Dr Sachchidanand,Assistant Professor Grade-II,0,0,0,0,0,Semi conductors
26,Dr Sumon Modak,Assistant Professor Grade-II,17,8,0,0,0,Antenna design
27,Dr. V Narasimha Nayak,Assistant Professor Grade-II,8,8,0,0,0,Communication Systems
,,,1148,703,193,69,44,
,,,,,,Total = 2157,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BioTechnology,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Asim Kumar Jana,Professor & Head,99,93,15,3,0,Bioprocess
2,Dr Nitai Basak,Associate Professor,32,44,5,1,1,Bioprocess
3,Dr Anee Mohanty,Assistant Professor (Grade-I),25,0,12,1,2,Microbiology
4,Dr Indu Chauhan,Assistant Professor (Grade-I),16,13,4,1,2,Bioprocess
5,Dr Mahesh Kumar Sah,Assistant Professor (Grade-I),32,37,10,2,1,Biomaterials
6,Dr Nikhil G N,Assistant Professor (Grade-I),31,0,7,1,4,Bioprocess
7,Dr Prangya Ranjan Rout,Assistant Professor (Grade-I),45,29,31,1,3,Microbiology
8,Dr. Sumer Singh Meena,Assistant Professor (Grade-I),20,23,13,1,3,Microbiology
9,Dr Chandi Charan Patra,Assistant Professor (Grade-II),16,0,0,0,0,Waste water managenment
10,Dr Manoj Kumar,Assistant Professor (Grade-II),17,1,4,0,0,Waste water managenment
11,Dr Pritam Kumar Dikshit,Assistant Professor (Grade-II),44,0,8,0,0,Waste water managenment
,,,377,240,109,11,16,
,,,,,,Total=  753,,
Chemistry,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Balbir Singh Kaith,Professor (HAG),291,12,19,2,5,Nanotechnology
2,Dr N C Kothiyal,Professor (HAG),63,5,7,12,0,Nanotechnology
3,Dr Jaspreet Kaur Rajput,Associate Professor,62,6,10,9,2,Nanotechnology
4,Dr Rajeev Jindal,Associate Professor,97,89,6,1,0,Nanotechnology
5,Dr Rakesh Kumar,Associate Professor,31,7,1,3,1,Organic synthesis
6,Dr Sadhika Khullar,Associate Professor,55,2,5,2,1,Organic synthesis
7,Dr Sangeeta Obrai,Associate Professor,39,1,2,0,0,Inorganic synthesis
8,Dr Uma Shanker,Associate Professor & Head,119,15,36,3,2,Nanotechnology
9,Dr Vickram Jeet Singh,Associate Professor,51,0,5,1,1,Ionic Liquid
10,Dr Vimal Kumar,Associate Professor,48,4,1,1,0,Inorganic synthesis
11,Dr Manisha Devi,Assistant Professor Grade-II,25,0,3,1,0,Ionic Liquid
12,Dr Poonam Rani,Assistant Professor Grade-II,20,0,0,0,0,Ionic Liquid
13,Dr Sanjeeb Sutradhar,Assistant Professor Grade-II,9,0,1,0,0,Organic synthesis
,,,910,141,96,35,12,
,,,,,,Total= 1194,,
Chemical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Mithilesh Kumar Jha,Professor (HAG),102,121,7,19,0,Waste Water Treatment
2,Dr Ajay Bansal,Professor,73,54,18,6,1,Waste Water Treatment
3,Dr Renu Gupta,Professor,30,66,8,8,0,Waste Water Treatment
4,Dr Sangeeta Garg,Professor,42,59,13,9,1,Waste Water Treatment
5,Dr Shailendra Bajpai,Professor,23,39,5,1,0,Waste Water Treatment
6,Dr Jatinder Kumar Ratan,Associate Professor,50,71,6,5,9,Computational Fluid Dynamics
7,Dr. N. K. Srivastava,Associate Professor,22,52,5,0,0,Renewable Energy
8,Dr Poonam Gera,Associate Professor,22,62,8,3,1,Renewable Energy
9,Dr Raj Kumar Arya,Associate Professor,95,24,47,3,1,Hydrogen Energy
10,Dr Amit Dhruv Saran,Assistant Professor (Grade-I),15,23,2,0,1,Nanotechnology
11,Dr Anjireddy Bhavanam,Assistant Professor (Grade-I),15,46,10,5,2,Waste Water Treatment
12,Dr Anurag Kumar Tiwari,Assistant Professor (Grade-I),35,17,7,0,0,Computational Fluid Dynamics 
13,Dr D Giribabu,Assistant Professor (Grade-I),9,1,2,1,1,Waste Water Treatment
14,Dr Deepak Sahu,Assistant Professor (Grade-I),14,20,8,2,2,Chemical Process Safety
15,Dr Neetu Divya,Assistant Professor (Grade-I),15,42,5,1,0,Waste Water Treatment
16,Dr. Nitin Naresh Pandhare,Assistant Professor (Grade-I),9,9,4,1,1,Environmental Engineering
17,Dr Shashikant Yadav,Assistant Professor (Grade-I),16,22,8,0,5,Environmental Engineering
18,Dr Umashankar Erigi,Assistant Professor (Grade-II),3,5,0,0,0,Nanotechnology
,,,590,733,163,64,25,
,,,,,,Total= 1575,,
Mechanical Engineering,,,,,,,,
S.No.,Name Of Professor,Designation,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects,,Domain 
,,,,,,Completed,Ongoing,
1,Dr Dinesh Kumar Shukla,Professor,43,26,0,0,0,Welding Technology
2,Dr Joseph Anand Vaz,Professor,18,10,9,4,0,Mechatronics
3,Dr Pramod Kumar,Professor,38,13,7,4,0,Renewable Energy
4,Dr Raman Bedi,Professor,63,30,7,0,2,Structure Property correlation
5,Dr Srinivas Tangellapalli,Professor & Head,77,79,18,3,1,Renewable Energy
6,Dr Subhash Chander,Professor,57,16,1,1,1,Renewable Energy
7,Mr. Ajay Trehan,Associate Professor,1,3,2,1,0,Renewable Energy
8,Dr Dushyant Singh,Associate Professor,32,19,8,1,3,Turbulent Flows
9,Dr R S Bharj,Associate Professor,60,4,3,0,0,Renewable Energy
10,Dr Rajeev Kukreja,Associate Professor,28,23,4,0,2,Renewable Energy
11,Dr S K Tiwari,Associate Professor,34,7,3,0,0,Welding Technology
12,Dr Sarbjot Singh Sandhu,Associate Professor,39,15,7,2,0,Renewable Energy
13,Dr Ashok Kumar Bagha,Assistant Professor (Grade-I),38,37,4,2,1,Vibration Engineering
