S.No.,Name,Designation,Department,Domain,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects - Completed,Research Projects - Ongoing,Total Publications,All_Domains,Primary Domain,Domain Category,Total_Projects,Has_Projects
1,Dr Sharvan Kumar Pahuja,Professor & Head,Electrical Engineering,signal processing,27,11,5,5,0,43,['signal processing'],signal processing,Signal Processing & Control,5,True
2,Dr Harimurugan,Assistant Professor (Grade-I),Electrical Engineering,ML,12,14,1,1,0,27,['machine learning'],machine learning,AI & ML,1,True
3,Dr Kailash Chand Sharma,Assistant Professor (Grade-I),Electrical Engineering,ML,23,24,1,0,0,48,['machine learning'],machine learning,AI & ML,0,False
4,Dr. Mahesh Kumar,Assistant Professor (Grade-I),Electrical Engineering,Power system,10,13,4,0,0,27,['power systems'],power systems,Power & Energy,0,False
5,Dr Arun Rathore,Assistant Professor Garde-II,Electrical Engineering,Power System,15,14,1,0,0,30,['power systems'],power systems,Power & Energy,0,False
6,Dr Bhukya Nageswar Rao,Assistant Professor Grade-II,Electrical Engineering,micro grid,12,12,1,0,0,25,['microgrid'],microgrid,Power & Energy,0,False
7,Dr Debottam Mukherjee,Assistant Professor (Grade-II),Electrical Engineering,Power System,14,18,1,0,0,33,['power systems'],power systems,Power & Energy,0,False
8,Dr Madan Kumar Das,Assistant Professor Garde-II,Electrical Engineering,micro grid,8,15,2,0,1,25,['microgrid'],microgrid,Power & Energy,1,True
9,Dr Krishanu Nath,Assistant Professor (Grade-II),Electrical Engineering,Robotics,11,18,0,0,0,29,['robotics'],robotics,Robotics & Automation,0,False
10,Dr Pothuraju Ramakrishna,Assistant Professor Garde-II,Electrical Engineering,Power system,7,12,1,0,2,20,['power systems'],power systems,Power & Energy,2,True
11,Dr. Sounak Nandi,Assistant Professor (Grade-II),Electrical Engineering,Electrostatics,11,5,2,0,2,18,['electrostatics'],electrostatics,Other,2,True
1,Dr S J S Bedi,Professor,Humanities & Management,HR,15,2,1,3,0,18,['human resources'],human resources,Other,3,True
2,Dr Sonia Chawla,Professor,Humanities & Management,Financal economics,46,7,6,4,0,59,['financial economics'],financial economics,Management & Humanities,4,True
3,Dr Aditya Prakash,Associate Professor & Head,Humanities & Management,literature,10,0,0,0,0,10,['literature'],literature,Other,0,False
4,Dr Jagwinder Singh,Associate Professor & Head,Humanities & Management,consumer behavaour,23,3,3,0,0,29,['consumer behaviour'],consumer behaviour,Other,0,False
5,Dr Gaurav Kumar,Assistant Professor (Grade-I),Humanities & Management,Financal econimics,11,0,6,1,0,17,['financial economics'],financial economics,Management & Humanities,1,True
6,Dr Gyan Prakash,Assistant Professor (Grade-I),Humanities & Management,HR,36,6,0,1,1,42,['human resources'],human resources,Other,2,True
7,Dr Shyamkiran Kaur,Assistant Professor (Grade-I),Humanities & Management,literature,15,13,3,0,0,31,['literature'],literature,Other,0,False
8,Dr Neeraj Gautam,Assistant Professor Grade-II,Humanities & Management,0,0,0,0,0,0,0,['other'],other,Other,0,False
9,Dr Radhakrishna G S,Assistant Professor (Grade-II),Humanities & Management,Financial economics,6,3,0,1,0,9,['financial economics'],financial economics,Management & Humanities,1,True
10,Dr Ravina Toppo,Assistant Professor Grade-II,Humanities & Management,0,0,0,0,0,0,0,['other'],other,Other,0,False
11,Dr Vaibhav Pathak,Assistant Professor Grade-II,Humanities & Management,0,0,0,0,0,0,0,['other'],other,Other,0,False
12,Dr Yaisna Rajkumari,Assistant Professor (Grade-II),Humanities & Management,literature,8,1,5,0,0,14,['literature'],literature,Other,0,False
1,Dr Binod Kumar Kanaujia,"Director, NITJ",Electronics & Communication Engineering,Communication Systems,347,93,25,8,3,465,['communication systems'],communication systems,Networking & Communications,11,True
2,Dr Arun K Khosla,Professor,Electronics & Communication Engineering,Human-Computer Interaction (HCI),45,31,25,11,2,101,"['human-computer interaction', 'human-computer interaction']",human-computer interaction,Other,13,True
3,Dr B S Saini,Professor,Electronics & Communication Engineering,Signal processing,61,56,16,1,0,133,['signal processing'],signal processing,Signal Processing & Control,1,True
4,Dr Mamta Khosla,Professor,Electronics & Communication Engineering,ML,56,35,11,3,4,102,['machine learning'],machine learning,AI & ML,7,True
5,Dr Ashish Raman,Associate Professor & Head,Electronics & Communication Engineering,ML,84,33,15,6,10,132,['machine learning'],machine learning,AI & ML,16,True
6,Dr Asutosh Kar,Associate Professor,Electronics & Communication Engineering,Signal processing,54,50,3,6,0,107,['signal processing'],signal processing,Signal Processing & Control,6,True
7,Dr Balwinder Raj,Associate Professor,Electronics & Communication Engineering,Nanoelectronics,107,51,21,7,3,179,['nanoelectronics'],nanoelectronics,Electronics,10,True
